Date,Temperature minimale,Temperature maximale,Temperature moyenne,Precipitation totale,Dir_wind,Mod_wind
14-02-01_00,-4.6,0.9,-1.6,0.0,239.0,4.0
14-02-02_00,-6.1,-1.1,-3.7,0.0,166.0,2.0
14-02-03_00,-3.4,0.5,-0.9,0.0,252.0,3.0
14-02-04_00,-9.9,-5.5,-8.1,0.0,149.0,2.0
14-02-05_00,-9.7,-6.3,-7.6,0.0,259.0,2.0
14-02-06_00,-11.7,-6.4,-8.7,0.0,125.0,3.0
14-02-07_00,-15.7,-9.3,-12.7,0.0,252.0,3.0
14-02-08_00,-9.8,-7.6,-8.7,0.0,246.0,4.0
14-02-09_00,-11.7,-6.4,-9.0,0.0,260.0,4.0
14-02-10_00,-10.5,-7.4,-8.5,0.0,133.0,2.0
14-02-11_00,-10.9,-7.0,-9.1,0.0,266.0,2.0
14-02-12_00,-15.7,-10.5,-13.1,0.0,278.0,3.0
14-02-13_00,-15.9,-9.2,-12.9,0.0,152.0,2.0
14-02-14_00,-12.9,-5.5,-8.4,0.0,126.0,3.0
14-02-15_00,-6.2,-3.0,-4.5,0.0,226.0,5.0
14-02-16_00,-8.2,-4.4,-6.3,0.0,180.0,2.0
14-02-17_00,-14.2,-7.4,-11.0,0.0,278.0,5.0
14-02-18_00,-15.3,-9.2,-12.1,0.0,260.0,3.0
14-02-19_00,-15.8,-3.2,-10.1,0.0,109.0,2.0
14-02-20_00,-5.3,1.8,-1.5,0.0,169.0,4.0
14-02-21_00,-2.4,3.4,0.6,0.0,227.0,3.0
14-02-22_00,-0.5,4.4,1.9,0.0,134.0,3.0
14-02-23_00,0.1,6.4,3.2,0.0,239.0,4.0
14-02-24_00,-2.1,1.5,-0.4,0.0,253.0,4.0
14-02-25_00,-9.3,-3.9,-7.6,0.0,279.0,5.0
14-02-26_00,-12.3,-9.2,-10.7,0.0,278.0,3.0
14-02-27_00,-12.1,-9.9,-11.0,0.0,227.0,4.0
14-02-28_00,-13.8,-7.2,-10.6,0.0,206.0,4.0
14-03-01_00,-17.9,-11.7,-14.4,0.0,264.0,5.0
14-03-02_00,-14.3,-2.4,-8.9,0.0,165.0,3.0
14-03-03_00,-12.2,-5.3,-9.9,0.0,224.0,3.0
14-03-04_00,-16.2,-12.1,-14.2,0.0,274.0,3.0
14-03-05_00,-17.2,-10.8,-13.6,0.0,260.0,3.0
14-03-06_00,-14.9,-9.0,-11.8,0.0,156.0,2.0
