,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.0,0.07,0.24,0.38,0.6,0.0
ENE,0.0,0.02,0.43,0.33,0.79,0.0
E,0.0,0.1,0.6,0.5,0.38,0.0
ESE,0.0,0.33,0.77,0.96,0.74,0.0
SE,0.02,0.33,0.57,1.1,1.2,0.0
SSE,0.02,0.29,0.84,1.15,0.88,0.0
S,0.07,0.38,0.72,1.34,0.98,0.0
SSW,0.1,0.45,1.24,3.16,2.99,0.0
SW,0.05,0.33,1.24,2.3,2.68,0.0
WSW,0.07,0.53,0.86,1.82,3.04,0.0
W,0.0,0.22,1.0,1.65,2.89,0.0
WNW,0.0,0.07,0.33,0.5,0.55,0.0
NW,0.0,0.0,0.0,0.07,0.05,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
