,0,1,2,3,4
0,0.0,31.0,0.0,-0.4779098331928253,1.9101728200912476
1,0.0,30.0,0.0,-0.4779098331928253,1.9101728200912476
2,0.0,29.0,0.0,-0.4779098331928253,1.9101728200912476
3,0.0,28.0,0.0,-0.4779098331928253,1.9101728200912476
4,0.0,27.0,0.0,-0.4779098331928253,1.9101728200912476
5,0.0,26.0,0.0,-0.4779098331928253,1.9101728200912476
6,0.0,25.0,0.0,-0.4779098331928253,1.9101728200912476
7,0.0,24.0,0.0,-0.4779098331928253,1.9101728200912476
8,0.0,23.0,0.0,-0.4779098331928253,1.9101728200912476
9,0.0,22.0,0.0,-0.4779098331928253,1.9101728200912476
10,0.0,21.0,0.0,-0.4779098331928253,1.9101728200912476
11,0.0,20.0,0.0,-0.4779098331928253,1.9101728200912476
12,0.0,19.0,0.0,-0.4779098331928253,1.9101728200912476
13,0.0,18.0,0.0,-0.4779098331928253,1.9101728200912476
14,0.0,17.0,0.0,-0.4779098331928253,1.9101728200912476
15,0.0,16.0,0.0,-0.4779098331928253,1.9101728200912476
16,0.0,15.0,0.0,-0.4779098331928253,1.9101728200912476
17,0.0,14.0,0.0,-0.4779098331928253,1.9101728200912476
18,0.0,13.0,0.0,-0.4779098331928253,1.9101728200912476
19,0.0,12.0,0.0,-0.4779098331928253,1.9101728200912476
20,0.0,11.0,0.0,-0.4779098331928253,1.9101728200912476
21,0.0,10.0,0.0,-0.4779098331928253,1.9101728200912476
22,0.0,9.0,0.0,-0.4779098331928253,1.9101728200912476
23,0.0,8.0,0.0,-0.4779098331928253,1.9101728200912476
24,0.0,7.0,0.0,-0.4779098331928253,1.9101728200912476
25,0.0,6.0,0.0,-0.4779098331928253,1.9101728200912476
26,0.0,5.0,0.0,-0.4779098331928253,1.9101728200912476
27,0.0,4.0,0.0,-0.4779098331928253,1.9101728200912476
28,0.0,3.0,0.0,-0.4779098331928253,1.9101728200912476
29,0.0,2.0,0.0,-0.4779098331928253,1.9101728200912476
30,0.0,1.0,0.0,-0.4779098331928253,1.9101728200912476
31,1.0,31.0,0.0,-0.4779098331928253,1.9101728200912476
32,1.0,30.0,0.0,-0.4779098331928253,1.9101728200912476
33,1.0,29.0,0.0,-0.4779098331928253,1.9101728200912476
34,1.0,28.0,0.0,-0.4779098331928253,1.9101728200912476
35,1.0,27.0,0.0,-0.4779098331928253,1.9101728200912476
36,1.0,26.0,0.0,-0.4779098331928253,1.9101728200912476
37,1.0,25.0,0.0,-0.4779098331928253,1.9101728200912476
38,1.0,24.0,0.0,-0.4779098331928253,1.9101728200912476
39,1.0,23.0,0.0,-0.4779098331928253,1.9101728200912476
40,1.0,22.0,0.0,-0.4779098331928253,1.9101728200912476
41,1.0,21.0,0.0,-0.4779098331928253,1.9101728200912476
42,1.0,20.0,0.0,-0.4779098331928253,1.9101728200912476
43,1.0,19.0,0.0,-0.4779098331928253,1.9101728200912476
