,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.02,0.0,0.0,0.0,0.0
NE,0.02,0.25,0.42,0.28,0.23,0.0
ENE,0.05,0.39,0.6,0.65,0.97,0.0
E,0.12,0.25,0.79,1.27,0.92,0.0
ESE,0.3,0.62,1.34,2.2,2.94,0.0
SE,0.14,0.39,1.04,1.23,1.06,0.0
SSE,0.12,0.28,1.16,0.79,0.76,0.0
S,0.05,0.39,1.27,1.23,0.62,0.0
SSW,0.18,0.6,1.62,2.82,2.22,0.0
SW,0.16,0.67,1.16,1.43,1.25,0.0
WSW,0.05,0.51,1.09,2.15,2.36,0.0
W,0.07,0.42,1.02,2.5,2.87,0.0
WNW,0.02,0.46,1.13,1.73,1.73,0.0
NW,0.0,0.0,0.16,0.3,0.16,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
