Time,Precipitation,pressure,humidex,Rosee,Temperature,Chill,Humidite,Dir_wind,Mod_wind
19-06-02_12,2.42,1049.0,21.0,13.8,16.0,16.0,87.0,211.0,6.0
19-06-02_13,2.07,1048.0,22.0,14.5,16.7,16.7,87.0,239.0,7.0
19-06-02_14,0.42,1047.0,23.0,14.8,17.3,17.3,85.0,238.0,8.0
19-06-02_15,0.0,1046.0,24.0,14.2,18.3,18.3,77.0,255.0,10.0
19-06-02_16,0.0,1046.0,24.0,13.9,17.8,17.8,78.0,267.0,13.0
19-06-02_17,0.0,1046.0,24.0,14.0,18.1,18.1,77.0,266.0,9.0
19-06-02_18,0.0,1046.0,24.0,13.7,17.8,17.8,77.0,257.0,10.0
19-06-02_19,0.0,1046.0,24.0,13.4,17.9,17.9,75.0,236.0,9.0
19-06-02_20,0.0,1046.0,25.0,11.7,18.4,18.4,65.0,265.0,14.0
19-06-02_21,0.0,1047.0,24.0,11.5,17.9,17.9,66.0,243.0,10.0
19-06-02_22,0.0,1048.0,21.0,8.4,16.4,16.4,59.0,269.0,11.0
19-06-02_23,0.0,1049.0,19.0,8.3,14.8,14.8,65.0,291.0,14.0
19-06-03_00,0.0,1049.0,17.0,8.4,13.8,13.8,70.0,291.0,11.0
19-06-03_01,0.0,1050.0,17.0,7.9,13.7,13.7,68.0,272.0,10.0
19-06-03_02,0.0,1050.0,16.0,8.0,13.1,13.1,71.0,269.0,18.0
19-06-03_03,0.0,1050.0,15.0,5.5,12.8,12.8,61.0,270.0,20.0
19-06-03_04,0.0,1050.0,15.0,4.5,12.3,12.3,59.0,271.0,19.0
19-06-03_05,0.0,1051.0,15.0,3.4,12.2,12.2,55.0,272.0,13.0
19-06-03_06,0.0,1051.0,15.0,3.2,12.2,12.2,54.0,272.0,11.0
19-06-03_07,0.0,1050.0,14.0,4.4,11.7,11.7,61.0,250.0,9.0
19-06-03_08,0.0,1050.0,14.0,4.2,12.0,12.0,59.0,246.0,12.0
19-06-03_09,0.0,1050.0,13.0,3.5,11.5,11.5,58.0,259.0,17.0
19-06-03_10,0.0,1050.0,14.0,3.0,12.0,12.0,54.0,243.0,15.0
19-06-03_11,0.0,1050.0,15.0,3.4,12.4,12.4,54.0,232.0,13.0
19-06-03_12,0.0,1051.0,14.0,1.5,11.6,11.6,50.0,253.0,17.0
