Date,Temperature minimale,Temperature maximale,Temperature moyenne,Precipitation totale,Dir_wind,Mod_wind
14-02-01_00,-4.6,0.9,-1.5,0.0,244.0,4.0
14-02-02_00,-6.2,0.2,-3.5,0.0,163.0,2.0
14-02-03_00,-4.8,0.5,-1.2,0.0,255.0,3.0
14-02-04_00,-9.9,-4.8,-8.0,0.0,148.0,2.0
14-02-05_00,-9.9,-6.3,-7.6,0.0,261.0,2.0
14-02-06_00,-12.8,-6.4,-9.0,0.0,123.0,3.0
14-02-07_00,-15.7,-8.7,-12.6,0.0,252.0,3.0
14-02-08_00,-10.4,-7.6,-8.7,0.0,248.0,4.0
14-02-09_00,-11.7,-6.4,-8.9,0.0,259.0,4.0
14-02-10_00,-10.9,-7.4,-8.7,0.0,127.0,2.0
14-02-11_00,-11.0,-6.8,-9.1,0.0,272.0,2.0
14-02-12_00,-15.8,-10.9,-13.2,0.0,278.0,3.0
14-02-13_00,-15.9,-9.0,-12.7,0.0,147.0,2.0
14-02-14_00,-13.4,-5.5,-8.5,0.0,123.0,3.0
14-02-15_00,-6.1,-3.0,-4.4,0.0,234.0,5.0
14-02-16_00,-8.4,-4.4,-6.4,0.0,180.0,2.0
14-02-17_00,-14.2,-7.6,-11.1,0.0,279.0,5.0
14-02-18_00,-15.3,-9.2,-12.1,0.0,253.0,3.0
14-02-19_00,-15.8,-3.2,-9.7,0.0,111.0,2.0
14-02-20_00,-5.3,1.8,-1.4,0.0,173.0,4.0
14-02-21_00,-2.4,3.4,0.6,0.0,220.0,3.0
14-02-22_00,-0.5,4.6,2.0,0.0,140.0,3.0
14-02-23_00,-0.3,6.6,3.1,0.0,241.0,4.0
14-02-24_00,-3.4,1.6,-0.5,0.0,254.0,4.0
14-02-25_00,-10.1,-3.4,-7.6,0.0,279.0,5.0
14-02-26_00,-12.4,-9.2,-10.7,0.0,277.0,3.0
14-02-27_00,-13.1,-9.9,-11.1,0.0,226.0,4.0
14-02-28_00,-13.8,-7.2,-10.6,0.0,207.0,4.0
14-03-01_00,-17.9,-12.3,-14.5,0.0,262.0,5.0
14-03-02_00,-14.3,-2.4,-8.5,0.0,168.0,3.0
14-03-03_00,-12.5,-4.2,-9.8,0.0,224.0,3.0
14-03-04_00,-16.2,-12.2,-14.3,0.0,273.0,4.0
14-03-05_00,-17.2,-10.6,-13.4,0.0,261.0,3.0
14-03-06_00,-14.9,-9.0,-11.8,0.0,156.0,2.0
14-03-07_00,-15.7,-8.5,-11.9,0.0,147.0,2.0
14-03-08_00,-11.4,0.6,-4.5,0.0,166.0,2.0
14-03-09_00,-4.2,2.7,-0.3,0.0,195.0,3.0
14-03-10_00,-7.1,-4.2,-5.7,0.0,165.0,2.0
14-03-11_00,-5.5,1.2,-2.1,0.0,166.0,2.0
14-03-12_00,1.2,5.5,3.1,0.0,274.0,4.0
