,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.07,0.25,0.79,1.5,2.08,0.0
ENE,0.23,0.35,0.83,1.43,1.5,0.0
E,0.23,0.51,0.88,1.11,0.76,0.0
ESE,0.6,0.42,1.23,1.62,1.92,0.0
SE,0.39,0.76,1.34,1.62,1.5,0.0
SSE,0.16,0.51,1.16,1.41,0.69,0.0
S,0.09,0.46,2.15,1.53,0.55,0.0
SSW,0.37,0.79,1.9,3.61,3.05,0.0
SW,0.37,0.44,1.18,1.6,1.62,0.0
WSW,0.25,0.44,0.81,1.27,2.36,0.0
W,0.25,0.44,1.43,1.78,2.24,0.0
WNW,0.07,0.55,1.53,1.36,0.9,0.0
NW,0.0,0.0,0.09,0.05,0.05,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
