,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.02,0.0,0.0,0.02,0.0
NE,0.07,0.27,0.79,1.68,1.34,0.0
ENE,0.17,0.17,1.09,1.39,1.96,0.0
E,0.15,0.2,0.69,1.49,1.36,0.0
ESE,0.07,0.35,0.77,1.88,2.08,0.0
SE,0.2,0.25,0.52,0.47,1.04,0.0
SSE,0.22,0.22,0.4,0.42,0.32,0.0
S,0.22,0.37,0.54,0.45,0.4,0.0
SSW,0.12,0.32,0.35,0.62,0.89,0.0
SW,0.15,0.52,0.5,0.37,0.79,0.0
WSW,0.12,0.27,0.64,0.64,1.02,0.0
W,0.0,0.4,1.14,1.93,2.75,0.0
WNW,0.0,0.25,0.77,0.57,0.74,0.0
NW,0.0,0.0,0.05,0.17,0.05,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
